runNum,gen,nevals,F.avg,F.max,F.min,F.nevals,F.std,S.avg,S.max,S.min,S.nevals,S.std
2,1,568,2.26701,10.36,0.44,568,1.83669,7.594,23,1,568,3.73646
2,2,552,1.80749,9.8,0.44,552,1.58867,7.802,23,1,552,3.85756
2,3,548,1.55724,9.35,0.44,548,1.3643,8.354,26,1,548,4.04187
2,4,543,1.5006,9.77,0.44,543,1.45855,8.718,29,1,543,4.29051
2,5,563,1.41058,9.32,0.44,563,1.37684,9.343,34,1,563,4.29061
2,6,558,1.3473,10.36,0.17,558,1.48183,10.541,27,1,558,4.17401
2,7,560,1.2676,9.4,0.17,560,1.53899,11.529,26,1,560,4.43702
2,8,560,1.03346,9.77,0.17,560,1.07452,11.62,44,1,560,4.45439
2,9,521,1.01726,9.4,0.17,521,1.17359,11.012,31,1,521,3.99047
2,10,570,1.02268,9.32,0.17,570,1.13453,10.918,45,1,570,4.27145
2,11,526,0.90457,9.32,0.17,526,0.968269,11.296,30,1,526,4.46681
2,12,538,0.92117,9.32,0.17,538,1.07497,11.726,31,1,538,4.85396
2,13,550,0.91983,9.32,0.17,550,1.05949,12.756,41,1,550,5.60771
2,14,570,0.87437,9.32,0.17,570,1.01182,13.894,40,1,570,6.05267
2,15,537,0.83891,8.36,0.17,537,0.91517,15.279,40,1,537,6.60675
2,16,527,0.79206,9.32,0.17,527,0.976395,16.696,46,1,527,6.82463
2,17,530,0.73113,9.32,0.17,530,0.991179,18.276,50,1,530,6.91172
2,18,522,0.62111,10.36,0.09,522,0.776527,19.682,49,1,522,7.07212
2,19,576,0.62689,9.32,0.09,576,1.00745,20.264,51,1,576,7.45857
2,20,553,0.5052,9.32,0.09,553,0.773499,20.135,56,1,553,8.20041
2,21,570,0.46292,9.32,0.09,570,0.802048,21.072,53,4,570,8.58701
2,22,550,0.41491,9.32,0.09,550,0.709899,21.941,70,1,550,9.63367
2,23,522,0.39126,5.93,0.09,522,0.639971,23.934,73,1,522,10.5472
2,24,499,0.36796,9.32,0.09,499,0.722484,27.159,73,1,499,11.3292
2,25,546,0.35207,9.32,0.02,546,0.689827,32.375,75,1,546,11.5362
2,26,526,0.29342,9.32,0.02,526,0.591389,36.497,78,1,526,10.5616
2,27,549,0.27634,8.28,0.02,549,0.557445,39.185,76,1,549,9.35429
2,28,582,0.30481,9.32,0.02,582,0.688696,40.192,90,1,582,9.37396
2,29,575,0.27218,5.85,0.02,575,0.553835,41.102,94,4,575,9.71121
2,30,558,0.27026,4.6,0.02,558,0.495693,41.33,81,4,558,9.3298
2,31,547,0.25717,4.41,0.02,547,0.527989,41.394,84,4,547,9.15919
2,32,562,0.26414,9.32,0.02,562,0.650665,42.096,78,1,562,9.04902
2,33,550,0.23695,4.6,0.02,550,0.564557,42.328,86,1,550,9.34347
2,34,528,0.18318,4.6,0.02,528,0.452843,42.073,90,1,528,9.08734
2,35,562,0.24006,9.56,0.02,562,0.684759,42.304,81,1,562,9.18671
2,36,559,0.23195,9.32,0.02,559,0.663344,43.273,122,12,559,10.322
2,37,540,0.2194,9.32,0.02,540,0.656862,44.184,122,1,540,10.4934
2,38,515,0.22795,9.32,0.02,515,0.697031,44.566,114,1,515,10.9791
2,39,583,0.22247,4.34,0.02,583,0.53493,45.625,114,20,583,11.753
2,40,544,0.20885,8.21,0.02,544,0.572705,47.173,114,1,544,13.4778
2,41,533,0.19764,5.78,0.02,533,0.505767,48.461,105,14,533,13.6679
2,42,536,0.22846,9.32,0.02,536,0.621557,49.183,105,4,536,14.7567
2,43,587,0.23262,9.32,0.02,587,0.669835,50.206,107,1,587,14.9185
2,44,559,0.23896,9.32,0.02,559,0.649741,52.314,105,1,559,16.8076
2,45,553,0.22045,5.78,0.02,553,0.571003,53.241,115,1,553,17.4988
2,46,561,0.21596,9.32,0.02,561,0.645421,53.676,128,1,561,17.2113
2,47,570,0.20889,8.21,0.02,570,0.601539,55.059,128,1,570,17.3598
2,48,554,0.20599,8.21,0.02,554,0.588037,57.642,115,12,554,17.9509
2,49,562,0.18652,8.21,0.02,562,0.527598,59.307,122,11,562,18.3988
2,50,555,0.18612,5.78,0.02,555,0.575568,60.153,122,11,555,19.1598
2,51,574,0.19361,9.32,0.02,574,0.607026,61.584,141,4,574,20.2701
2,52,564,0.17245,5.78,0.02,564,0.500377,64.033,144,1,564,20.3792
2,53,569,0.18657,4.34,0.02,569,0.500871,65.721,149,19,569,21.4691
2,54,491,0.14733,8.21,0.02,491,0.478144,67.277,183,12,491,22.3018
2,55,548,0.17318,5.78,0.02,548,0.541519,69.125,174,17,548,22.9252
2,56,570,0.1726,5.78,0.02,570,0.498805,71.273,185,1,570,24.1368
2,57,555,0.17051,9.35,0.02,555,0.565813,72.263,189,17,555,23.8372
2,58,566,0.14493,5.78,0.02,566,0.457584,72.847,187,1,566,25.2636
2,59,523,0.12559,5.78,0.02,523,0.392243,75.837,187,19,523,25.9735
2,60,580,0.15683,4.6,0.02,580,0.458352,76.154,206,4,580,26.6728
2,61,560,0.14222,3.26,0.02,560,0.409468,77.217,191,23,560,26.1499
2,62,566,0.15396,4.34,0.02,566,0.492286,79.441,187,23,566,26.5436
2,63,586,0.20734,9.32,0.02,586,0.746854,81.276,185,1,586,28.5817
2,64,532,0.14156,5.78,0.02,532,0.440702,83.094,185,17,532,29.5156
2,65,548,0.14855,8.21,0.02,548,0.525838,86.211,187,21,548,29.9198
2,66,558,0.17796,9.32,0.02,558,0.686967,88.843,185,1,558,31.5421
2,67,557,0.14781,4.34,0.02,557,0.44624,90.706,234,4,557,33.4674
2,68,585,0.14314,9.32,0.02,585,0.557661,92.343,223,4,585,33.2255
2,69,552,0.10602,4.34,0.02,552,0.349168,93.881,206,22,552,32.454
2,70,554,0.14023,9.32,0.02,554,0.534494,96.766,201,11,554,32.4401
2,71,550,0.12051,4.34,0.02,550,0.392448,98.861,201,22,550,33.2043
2,72,544,0.12544,4.34,0.02,544,0.411427,100.424,199,14,544,33.3829
2,73,591,0.14418,8.21,0.02,591,0.527023,102.88,208,25,591,35.0659
2,74,527,0.1208,8.21,0.02,527,0.464174,105.332,252,4,527,35.5087
2,75,577,0.1214,8.21,0.02,577,0.436369,105.433,237,11,577,35.5736
2,76,573,0.12083,9.32,0.02,573,0.4669,107.487,248,1,573,35.8925
2,77,577,0.13387,9.32,0.02,577,0.539264,108.114,248,1,577,35.4648
2,78,533,0.12261,9.32,0.02,533,0.503861,110.272,247,1,533,36.9367
2,79,545,0.0948,4.34,0.02,545,0.345792,112.834,252,23,545,38.119
2,80,556,0.09353,5.78,0.02,556,0.345138,112.967,249,1,556,36.6493
2,81,573,0.12605,9.25,0.02,573,0.560567,114.39,245,1,573,38.5266
2,82,561,0.11994,5.78,0.02,561,0.417987,115.217,253,11,561,37.0607
2,83,539,0.09624,3.26,0.02,539,0.329074,118.998,253,14,539,38.6473
2,84,574,0.09733,5.78,0.02,574,0.381637,121.273,264,4,574,39.7876
2,85,523,0.11814,8.21,0.02,523,0.513423,124.268,281,1,523,40.5187
2,86,571,0.1184,5.78,0.02,571,0.432073,124.733,264,4,571,42.0625
2,87,534,0.11097,8.21,0.02,534,0.478082,127.708,264,23,534,40.4081
2,88,573,0.09115,3.26,0.02,573,0.317177,127.899,264,1,573,40.7302
2,89,530,0.11794,9.32,0.02,530,0.528989,128.945,264,1,530,40.7735
2,90,545,0.08123,5.78,0.02,545,0.32969,130.172,254,1,545,42.2804
2,91,546,0.09758,4.34,0.02,546,0.355548,129.366,254,20,546,41.0135
2,92,533,0.08636,4.34,0.02,533,0.353764,132.377,259,23,533,41.804
2,93,568,0.10987,8.21,0.02,568,0.510307,132.274,263,1,568,43.7012
2,94,571,0.09866,4.34,0.02,571,0.355406,133.635,276,1,571,44.3486
2,95,553,0.12504,8.21,0.02,553,0.537132,134.183,297,11,553,43.1256
2,96,524,0.10628,5.78,0.02,524,0.415864,135.956,293,27,524,45.7539
2,97,554,0.11149,4.34,0.02,554,0.404726,139.828,310,21,554,49.7715
2,98,566,0.10858,5.78,0.02,566,0.451487,141.799,300,16,566,47.9243
2,99,589,0.10774,9.32,0.02,589,0.481206,144.572,305,4,589,47.1919
2,100,557,0.08801,4.34,0.02,557,0.321069,143.83,338,1,557,49.4903
2,101,562,0.09846,3.26,0.02,562,0.362426,146.025,338,1,562,50.2581
2,102,555,0.10481,9.77,0.02,555,0.468646,147.208,330,1,555,51.4828
2,103,575,0.11404,8.21,0.02,575,0.511664,146.455,330,1,575,53.1276
2,104,567,0.1007,4.34,0.02,567,0.371873,146.451,309,1,567,51.3133
2,105,586,0.07568,3.26,0.02,586,0.252983,147.448,310,4,586,51.0875
2,106,514,0.10854,9.32,0.02,514,0.576797,145.49,306,1,514,51.4387
2,107,543,0.07552,3.26,0.02,543,0.291695,145.992,306,21,543,50.8566
2,108,513,0.09039,5.78,0.02,513,0.366011,147.248,306,4,513,53.6096
2,109,545,0.09778,4.6,0.02,545,0.358102,144.919,306,12,545,54.2878
2,110,548,0.08437,5.78,0.02,548,0.334,148.64,312,12,548,58.752
2,111,543,0.09002,5.78,0.02,543,0.400589,151.524,326,21,543,58.3286
2,112,531,0.09598,9.32,0.02,531,0.418832,151.918,326,4,531,58.4182
2,113,572,0.07514,9.32,0.02,572,0.388414,152.744,326,1,572,56.1619
2,114,555,0.08321,4.6,0.02,555,0.329021,153.132,328,1,555,56.1462
2,115,539,0.09139,4.6,0.02,539,0.349418,154.146,330,1,539,58.8551
2,116,514,0.09103,9.32,0.02,514,0.481825,152.278,330,1,514,55.8099
2,117,512,0.07317,6.05,0.02,512,0.352398,151.68,364,20,512,57.0656
2,118,546,0.09319,5.78,0.02,546,0.415469,151.728,364,21,546,57.5374
2,119,552,0.10506,6.05,0.02,552,0.447916,151.242,338,11,552,56.2905
2,120,539,0.08017,5.78,0.02,539,0.331746,155.095,338,1,539,56.9867
2,121,569,0.08644,3.26,0.02,569,0.306642,156.038,338,11,569,58.2607
2,122,549,0.07867,8.21,0.02,549,0.379504,157.934,359,11,549,56.6281
2,123,568,0.09511,5.78,0.02,568,0.413223,158.343,362,11,568,55.345
2,124,570,0.0853,5.78,0.02,570,0.359649,158.178,407,19,570,54.8003
